epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7110.89,1.29297,0.95996,1.16263,0.7734,0.7868,0.80918,0.47397,1.324,0.69873,1.28807,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7334.18,1.28166,0.95003,1.15829,0.75861,0.79323,0.81081,0.4751,1.32392,0.69652,1.28869,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7549.23,1.27808,0.94986,1.15278,0.76396,0.80223,0.8169,0.47899,1.32191,0.69968,1.27874,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7764.09,1.27261,0.94513,1.15293,0.75803,0.80369,0.81762,0.48088,1.31848,0.69391,1.27939,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7980.21,1.2656,0.93927,1.15267,0.76203,0.7986,0.81773,0.48202,1.31337,0.6972,1.27683,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8194.52,1.26387,0.93483,1.14884,0.76284,0.79812,0.8169,0.48135,1.31834,0.69628,1.2793,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8415.03,1.25195,0.92585,1.14257,0.76542,0.80417,0.81631,0.4799,1.31132,0.69308,1.27593,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8627.71,1.25476,0.92369,1.14595,0.77281,0.79666,0.8188,0.48341,1.3109,0.68777,1.27826,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8842.63,1.24616,0.91734,1.14227,0.77545,0.7982,0.82197,0.48361,1.30986,0.68828,1.2793,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,9052.46,1.21021,0.82674,1.15093,0.76615,0.79948,0.82376,0.48425,1.31285,0.68863,1.28004,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,9261.3,1.19511,0.81852,1.1451,0.76618,0.80007,0.82422,0.48672,1.30892,0.68936,1.2771,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9470.66,1.18959,0.80548,1.14204,0.76499,0.80222,0.82458,0.4874,1.30128,0.68609,1.27075,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9679.14,1.18193,0.80178,1.13807,0.76481,0.80923,0.82553,0.48701,1.30333,0.68544,1.27265,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9888.19,1.17314,0.78962,1.13338,0.76598,0.80717,0.82633,0.48824,1.30309,0.6853,1.27265,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10097.1,1.16581,0.78523,1.12942,0.76917,0.80408,0.82718,0.48837,1.30187,0.68642,1.27159,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10306.8,1.15668,0.7784,1.12871,0.77019,0.80804,0.82782,0.48833,1.30278,0.68731,1.27315,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10516.8,1.15139,0.77114,1.12461,0.75987,0.81644,0.82687,0.48851,1.30267,0.68747,1.27173,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10728.3,1.14641,0.7671,1.12075,0.76041,0.81695,0.82645,0.48821,1.30273,0.68711,1.27218,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10943.3,1.14029,0.76021,1.12027,0.76794,0.80794,0.82584,0.48839,1.30371,0.68735,1.27176,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
